"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"543903","GOLDETFADD","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","83.7400","55.8300","","","-1"
"16777","SILVRETF","MIRAEAMC - MASILVER","EQ","1.0000","1","ETF","E","NSE","96.5000","64.3300","","","262027"
"543922","SILVRETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","96.5000","64.3300","","","-1"
"17207","ITETFADD","DSPAMC - DSPITETF","EQ","1.0000","1","ETF","E","NSE","48.5100","32.3400","","","318657"
"17419","BANKETF","MIRAEAMC - BANKETF","EQ","1.0000","1","ETF","E","NSE","601.7600","401.1700","","","81036"
"17572","LIQUID","MIRAEAMC - LIQUID","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","19622"
"17616","PSUBANKADD","DSPAMC - DSPPSBKETF","EQ","1.0000","1","ETF","E","NSE","81.4800","54.3200","","","191200"
"17576","PVTBANKADD","DSPAMC - DSPPVBKETF","EQ","1.0000","1","ETF","E","NSE","30.0700","20.0400","","","2316433"
"17613","SENSEXADD","DSPAMC - DSPSENXETF","EQ","1.0000","1","ETF","E","NSE","95.9700","63.9800","","","31313"
"18279","HDFCLIQUID","HDFCAMC - HDFCLIQUID","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","7220"
"18347","NIFMID150","UTIAMC - NIFMID150","EQ","1.0000","1","ETF","E","NSE","251.6600","167.7700","","","9380"
"18668","NAVINIFTY","NAVIAMC - NAVINIFTY","EQ","1.0000","1","ETF","E","NSE","292.4700","194.9800","","","9561"
"10511","UTINIFTETF","UTI Nifty ETF","EQ","1.0000","1","ETF","E","NSE","314.2000","209.4700","","","380958"
"19237","MONIFTY500","MOTILALAMC - MONIFTY500","EQ","1.0000","1","ETF","E","NSE","27.4000","18.2700","","","990809"
"19224","SENSEXETF","MIRAEAMC - SENSEXETF","EQ","1.0000","1","ETF","E","NSE","95.9600","63.9700","","","63605"
"10633","HDFCNIF100","HDFCAMC - HDFCNIF100","EQ","1.0000","1","ETF","E","NSE","30.7400","20.4900","","","616064"
"14236","HDFCMID150","HDFCAMC - HDFCMID150","EQ","1.0000","1","ETF","E","NSE","25.2300","16.8200","","","1440421"
"11538","HDFCMOMENT","HDFCAMC - HDFCMOMENT","EQ","1.0000","1","ETF","E","NSE","42.4400","28.2900","","","942287"
"10619","HDFCNEXT50","HDFCAMC - HDFCNEXT50","EQ","1.0000","1","ETF","E","NSE","86.7600","57.8400","","","431623"
"11547","HDFCLOWVOL","HDFCAMC - HDFCLOWVOL","EQ","1.0000","1","ETF","E","NSE","24.0000","16.0000","","","551881"
"19640","ALPHAETF","MIRAEAMC - ALPHAETF","EQ","1.0000","1","ETF","E","NSE","33.5000","22.3300","","","2763060"
"19633","ITETF","MIRAEAMC - ITETF","EQ","1.0000","1","ETF","E","NSE","48.5000","32.3300","","","803921"
"19705","LIQUIDSBI","SBIAMC - LIQUIDSBI","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","39757"
"19933","EGOLD","EDELAMC - EGOLD","EQ","5.0000","1","ETF","E","NSE","86.5000","57.7000","","","246808"
"20257","ESILVER","EDELAMC - ESILVER","EQ","1.0000","1","ETF","E","NSE","99.2800","66.1900","","","213107"
"544043","BBNPPGOLD","BARODA BNP PARIBAS MUTUAL","E","1.0000","1","ETF","E","BSE","83.7700","55.8400","","","-1"
"20547","BBNPPGOLD","BARODABNP - BBNPPGOLD","EQ","5.0000","1","ETF","E","NSE","83.7500","55.8500","","","316513"
"21428","TATSILV","TATAAML-TATSILV","EQ","1.0000","1","ETF","E","NSE","9.6400","6.4300","","","3618328"
"21401","TATAGOLD","TATAAML-TATAGOLD","EQ","1.0000","1","ETF","E","NSE","8.3600","5.5700","","","8125269"
